Date,Exchange Rate
2025-11-14,305.22
2025-11-13,304.52
2025-11-12,304.28
2025-11-11,304.39
2025-11-10,304.95
2025-11-07,304.95
2025-11-06,304.62
2025-11-04,304.54
2025-11-03,304.49
2025-10-31,304.42
2025-10-30,304.34
2025-10-29,304.23
2025-10-28,304.02
2025-10-27,303.77
2025-10-24,303.61
2025-10-23,303.26
2025-10-22,303.11
2025-10-21,303.03
2025-10-17,302.99
2025-10-16,302.97
2025-10-15,302.73
2025-10-14,302.60
2025-10-13,302.68
2025-10-10,302.73
2025-10-09,302.62
2025-10-08,302.49
2025-10-07,302.48
2025-10-03,302.52
2025-10-02,302.52
2025-10-01,302.62
2025-09-30,302.61
2025-09-29,302.60
2025-09-26,302.52
2025-09-25,302.57
2025-09-24,302.53
2025-09-23,302.41
2025-09-22,302.37
2025-09-19,302.07
2025-09-18,301.98
2025-09-17,302.11
2025-09-16,302.12
2025-09-15,301.81
2025-09-12,301.91
2025-09-11,302.02
2025-09-10,301.90
2025-09-09,302.01
2025-09-08,302.02
2025-09-04,302.14
2025-09-03,302.14
2025-09-02,301.97
2025-09-01,302.29
2025-08-29,302.45
2025-08-28,302.33
2025-08-27,302.30
2025-08-26,302.23
2025-08-25,301.98
2025-08-22,301.83
2025-08-21,301.84
2025-08-20,301.54
2025-08-19,301.19
2025-08-18,301.15
2025-08-15,301.03
2025-08-14,300.93
2025-08-13,301.02
2025-08-12,300.67
2025-08-11,300.81
2025-08-07,300.77
2025-08-06,300.91
2025-08-05,301.00
2025-08-04,301.61
2025-08-01,302.19
2025-07-31,302.21
2025-07-30,302.04
2025-07-29,301.95
2025-07-28,301.87
2025-07-25,301.83
2025-07-24,301.77
2025-07-23,301.73
2025-07-22,301.85
2025-07-21,301.60
2025-07-18,301.51
2025-07-17,301.30
2025-07-16,300.96
2025-07-15,300.96
2025-07-14,300.70
2025-07-11,300.71
2025-07-09,300.91
2025-07-08,300.57
2025-07-07,300.22
2025-07-04,300.00
2025-07-03,300.00
2025-07-02,300.03
2025-07-01,299.95
2025-06-30,299.97
2025-06-27,299.97
2025-06-26,300.22
2025-06-25,300.49
2025-06-24,301.12
2025-06-23,300.45
2025-06-20,300.65
2025-06-19,300.71
2025-06-18,300.85
2025-06-17,300.79
2025-06-16,299.44
2025-06-13,299.02
2025-06-12,298.98
2025-06-11,299.11
2025-06-09,299.14
2025-06-06,299.27
2025-06-05,299.36
2025-06-04,299.52
2025-06-03,299.55
2025-06-02,299.42
2025-05-30,299.44
2025-05-29,299.67
2025-05-28,299.69
2025-05-27,299.57
2025-05-26,299.34
2025-05-23,299.41
2025-05-22,299.85
2025-05-21,300.57
2025-05-20,299.55
2025-05-19,298.82
2025-05-16,298.51
2025-05-15,298.69
2025-05-14,298.92
2025-05-09,299.30
2025-05-08,299.49
2025-05-07,299.50
2025-05-06,299.52
2025-05-05,299.48
2025-05-02,299.57
2025-04-30,299.62
2025-04-29,299.66
2025-04-28,299.70
2025-04-25,300.06
2025-04-24,299.83
2025-04-23,299.72
2025-04-22,299.23
2025-04-21,299.08
2025-04-17,298.62
2025-04-16,298.14
2025-04-11,298.87
2025-04-10,301.20
2025-04-09,298.61
2025-04-08,297.52
2025-04-07,296.76
2025-04-04,296.90
2025-04-03,296.06
2025-04-02,296.19
2025-04-01,296.32
2025-03-28,296.35
2025-03-27,296.45
2025-03-26,296.61
2025-03-25,296.72
2025-03-24,296.59
2025-03-21,296.60
2025-03-20,296.21
2025-03-19,296.04
2025-03-18,296.29
2025-03-17,295.81
2025-03-14,295.42
2025-03-12,295.50
2025-03-11,295.47
2025-03-10,295.47
2025-03-07,295.58
2025-03-06,295.23
2025-03-05,295.21
2025-03-04,295.35
2025-03-03,295.37
2025-02-28,295.50
2025-02-27,295.72
2025-02-25,295.75
2025-02-24,295.88
2025-02-21,296.48
2025-02-20,296.63
2025-02-19,295.89
2025-02-18,295.35
2025-02-17,295.52
2025-02-14,296.56
2025-02-13,297.02
2025-02-11,297.52
2025-02-10,297.66
2025-02-07,298.49
2025-02-06,298.93
2025-02-05,299.14
2025-02-03,297.64
2025-01-31,297.58
2025-01-30,296.55
2025-01-29,297.90
2025-01-28,298.47
2025-01-27,298.41
2025-01-24,298.86
2025-01-23,298.66
2025-01-22,297.50
2025-01-21,296.85
2025-01-20,296.66
2025-01-17,296.51
2025-01-16,295.22
2025-01-15,294.60
2025-01-10,295.59
2025-01-09,296.09
2025-01-08,296.15
2025-01-07,294.93
2025-01-06,293.56
2025-01-03,293.27
2025-01-02,293.41
2025-01-01,293.00
2024-12-31,292.58
2024-12-30,292.75
2024-12-27,294.33
2024-12-26,296.48
2024-12-24,295.61
2024-12-23,293.17
2024-12-20,292.68
2024-12-19,291.28
2024-12-18,290.94
2024-12-17,290.76
2024-12-16,290.32
2024-12-13,290.26
2024-12-12,290.30
2024-12-11,290.31
2024-12-10,290.36
2024-12-09,290.34
2024-12-06,290.40
2024-12-05,290.52
2024-12-04,290.54
2024-12-03,290.65
2024-12-02,290.70
2024-11-29,290.92
2024-11-28,291.09
2024-11-27,291.15
2024-11-26,291.06
2024-11-25,290.94
2024-11-22,290.99
2024-11-21,290.98
2024-11-20,290.92
2024-11-19,291.59
2024-11-18,292.19
2024-11-14,292.30
2024-11-13,292.60
2024-11-12,292.59
2024-11-11,292.65
2024-11-08,292.69
2024-11-07,292.94
2024-11-06,293.11
2024-11-05,293.09
2024-11-04,292.98
2024-11-01,293.41
2024-10-30,293.72
2024-10-29,293.54
2024-10-28,293.69
2024-10-25,293.68
