id,swimlane,title,file_path,bytes,sha256,source,ingest_date
DB-A2-0001,1-Config,66ce4e61.yaml,Raw/Config/YAML/66ce4e61.yaml,4783,6de8158bf408ab1408dacebfcf303bfc42e935e10a5e3174d5ff0f2e7305e68f,Archive 2.zip,20251213
DB-A2-0002,1-Config,a9f81e32.yaml,Raw/Config/YAML/a9f81e32.yaml,16676,2dddabf9d38b2124b3907b032d911b6527925e0531f26d4941006ecf0e7992d5,Archive 2.zip,20251213
DB-A2-0003,1-Config,dbe00078.yaml,Raw/Config/YAML/dbe00078.yaml,3932,b07e1976a26a0a285537e099b3f3b70a8609abb4ebaade932766fdab854ba31e,Archive 2.zip,20251213
DB-A2-0004,1-FinanceInputs,Current cost for dutch bay.xlsx,Raw/Finance/Current cost for dutch bay.xlsx,12473,c0c6341ad84f838fe2c1c353157eb8292e9516981d3aea84347d63a2fd7f0952,Archive 2.zip,20251213
DB-A2-0005,1-FinanceInputs,Current cost for dutch bay[1].xlsx,Raw/Finance/Current cost for dutch bay[1].xlsx,11464,11e897329959264638f3e442c9a29a85b5f34e815b9201d6cae320544ea93d18,Archive 2.zip,20251213
DB-A2-0006,2-Analytics-Risk,Committed State of the Sensitivity Module.pdf,Raw/Docs/Committed State of the Sensitivity Module.pdf,102270,92f2f4be548030023c74e2895b44c32e72989ac3c951de3f24f85efaf5e06040,Archive 2.zip,20251213
DB-A2-0007,2-Analytics-Risk,FAILED tests_analytics_layer_test_sensitivity_v14_.md,Raw/Docs/FAILED tests_analytics_layer_test_sensitivity_v14_.md,2338,289db359348d78e43bd68b9075cab2098777f8e9eaa00c9147ef116763df28c7,Archive 2.zip,20251213
DB-A2-0008,2-Analytics-Risk,SENS-001-completion.md,Raw/Docs/SENS-001-completion.md,14798,55bb0dee57ee82c1f189cdf90ab1337c84caf684f725ee772c84dc56a5a2309f,Archive 2.zip,20251213
DB-A2-0009,2-Analytics-Risk,SENS-001-delivery.md,Raw/Docs/SENS-001-delivery.md,10418,707de6de1575a2a1431c6bf8224b86d9a66618dfd4ff98213c1a8e7013042f55,Archive 2.zip,20251213
DB-A2-0010,2-Analytics-Risk,SENS-001-quick-ref.md,Raw/Docs/SENS-001-quick-ref.md,8633,ec6b85dd65cb080fc4a299188355861683ef59fd6aadece9afdafe4514de2bdb,Archive 2.zip,20251213
