source_zip,zone,category,subcategory,relative_path,extension,size_bytes,compressed_size_bytes,tags
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,pyproject.toml,toml,481,306,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,README.md,md,5378,2170,code;epc_model;markdown;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,pytest.ini,ini,225,156,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,mypy.ini,ini,601,227,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,.flake8,,182,151,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,.pre-commit-config.yaml,yaml,1031,384,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,.coveragerc,,67,50,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,SECURITY.md,md,422,275,code;epc_model;markdown;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report.json,json,772,335,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report_tomlcheck.json,json,752,333,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,Makefile,,1353,655,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report_pkgjob.json,json,748,332,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report_pkg_artifacts.json,json,760,335,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report_ver_smoke.json,json,752,333,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report_smoke_make.json,json,754,333,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report_ast_fix.json,json,239,167,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report_future_norm.json,json,239,167,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report_fix_runner.json,json,38,36,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report_cli_matrix.json,json,38,36,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,handler_discovery.json,json,1368,297,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report_handlers.json,json,38,36,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report_cli_tests_multi.json,json,38,36,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report_handlers_real.json,json,169,134,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report_cli_indent_fix2.json,json,38,36,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,schema.md,md,640,236,code;epc_model;markdown;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,qc_report_epc_schema_final.json,json,212,157,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,audit_report.json,json,2439,933,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,CHANGELOG.md,md,746,529,code;epc_model;markdown;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dead_handler_scan_report.json,json,218,133,code;epc_model;json;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/legacy_v12.py,py,12424,3807,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/config.py,py,1563,652,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/core.py,py,1420,602,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/monte_carlo.py,py,4893,1646,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/sensitivity.py,py,5004,1732,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/optimization.py,py,12351,3578,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/validate.py,py,8720,2279,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/cli.py,py,5451,1675,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/__main__.py,py,54,50,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/__init__.py,py,13,15,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/types.py,py,1387,495,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/scenario_runner.py,py,5363,1806,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/schema.py,py,5020,1472,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/charts.py,py,2149,752,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/report.py,py,2589,1109,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/report_pdf.py,py,2070,889,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/api.py,py,4406,1831,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/adapters.py,py,3260,648,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/epc.py,py,1880,733,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/finance/__init__.py,py,44,43,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/finance/irr.py,py,1110,479,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/finance/utils.py,py,98,88,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/finance/debt.py,py,1824,629,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/finance/cashflow.py,py,3105,1065,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/finance/__pycache__/__init__.cpython-311.pyc,pyc,223,194,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/finance/__pycache__/cashflow.cpython-311.pyc,pyc,5305,2861,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/finance/__pycache__/debt.cpython-311.pyc,pyc,2967,1704,code;epc_model;schema_ready
dutchbay_unified_project_epc_schema_ready_versioned_smoke.zip,Raw/Code/EPC_Model,Code,EPC_Model_V13_Skeleton,dutchbay_v13/finance/__pycache__/irr.cpython-311.pyc,pyc,3144,1664,code;epc_model;schema_ready
