column,valid_count,assessment_expected_count,assessment_coverage_pct
Speed 120 m Avg [m/s],31201,33444,93.29326635569907
Speed 120 m Min [m/s],33347,33444,99.70996292309532
Speed 120 m Max [m/s],33347,33444,99.70996292309532
Speed 120 m SD [m/s],33347,33444,99.70996292309532
Speed 100 m Avg [m/s],33347,33444,99.70996292309532
Speed 100 m Min [m/s],33347,33444,99.70996292309532
Speed 100 m Max [m/s],33347,33444,99.70996292309532
Speed 100 m SD [m/s],33347,33444,99.70996292309532
Speed 80 m Avg [m/s],33347,33444,99.70996292309532
Speed 80 m Min [m/s],33347,33444,99.70996292309532
Speed 80 m Max [m/s],33347,33444,99.70996292309532
Speed 80 m SD [m/s],33347,33444,99.70996292309532
Speed 50 m Avg [m/s],33347,33444,99.70996292309532
Speed 50 m Min [m/s],33347,33444,99.70996292309532
Speed 50 m Max [m/s],33347,33444,99.70996292309532
Speed 50 m SD [m/s],33347,33444,99.70996292309532
Speed 30 m Avg [m/s],33347,33444,99.70996292309532
Speed 30 m Min [m/s],33347,33444,99.70996292309532
Speed 30 m Max [m/s],33347,33444,99.70996292309532
Speed 30 m SD [m/s],33347,33444,99.70996292309532
Direction 120 m Avg [°],29829,33444,89.19088625762468
Direction 120 m Min [°],0,33444,0.0
Direction 120 m Max [°],0,33444,0.0
Direction 120 m SD [°],33347,33444,99.70996292309532
Direction 80 m Avg [°],33347,33444,99.70996292309532
Direction 80 m Min [°],0,33444,0.0
Direction 80 m Max [°],0,33444,0.0
Direction 80 m SD [°],33347,33444,99.70996292309532
Direction 30 m Avg [°],33347,33444,99.70996292309532
Direction 30 m Min [°],0,33444,0.0
Direction 30 m Max [°],0,33444,0.0
Direction 30 m SD [°],33347,33444,99.70996292309532
Temp 120 m Avg [℃],32491,33444,97.1504604712355
Temp 120 m Min [℃],33347,33444,99.70996292309532
Temp 120 m Max [℃],33347,33444,99.70996292309532
Temp 120 m SD [℃],33347,33444,99.70996292309532
Temp 10 m Avg [℃],33347,33444,99.70996292309532
Temp 10 m Min [℃],33347,33444,99.70996292309532
Temp 10 m Max [℃],33347,33444,99.70996292309532
Temp 10 m SD [℃],33347,33444,99.70996292309532
Temp 0 m Avg [℃],0,33444,0.0
Temp 0 m Min [℃],0,33444,0.0
Temp 0 m Max [℃],0,33444,0.0
Temp 0 m SD [℃],0,33444,0.0
RH 10 m Avg [%],33347,33444,99.70996292309532
RH 10 m Min [%],33347,33444,99.70996292309532
RH 10 m Max [%],33347,33444,99.70996292309532
RH 10 m SD [%],33347,33444,99.70996292309532
Pressure 120 m Avg [kPa],0,33444,0.0
Pressure 120 m Min [kPa],0,33444,0.0
Pressure 120 m Max [kPa],0,33444,0.0
Pressure 120 m SD [kPa],0,33444,0.0
Pressure 10 m Avg [kPa],33347,33444,99.70996292309532
Pressure 10 m Min [kPa],33347,33444,99.70996292309532
Pressure 10 m Max [kPa],33347,33444,99.70996292309532
Pressure 10 m SD [kPa],33347,33444,99.70996292309532
