sector_index,sector,centre_deg,count,frequency_pct,mean_speed_ms,speed_cubed_share_pct
0,N,0.0,126,0.3778450835157585,5.089603174603173,0.1349080488679123
1,NNE,22.5,101,0.3028758209134255,3.992178217821782,0.06552902095816529
2,NE,45.0,106,0.3178696734338921,3.845471698113207,0.05056810251993996
3,ENE,67.5,190,0.5697663957777311,5.421263157894737,0.15135108679701265
4,E,90.0,409,1.2264971361741686,5.018606356968214,0.24964928537019487
5,ESE,112.5,502,1.5053827930548476,3.9152390438247013,0.15547293383793823
6,SE,135.0,676,2.0271688607670857,2.532455621301775,0.06828541709519313
7,SSE,157.5,709,2.126128287402165,3.7259097320169254,0.18748551255892204
8,S,180.0,975,2.9238012414909886,4.70288205128205,0.5198904699800866
9,SSW,202.5,4110,12.324946771823551,7.522311435523115,8.37909478441835
10,SW,225.0,14653,43.94098419647944,9.01645942810346,46.339947148027576
11,WSW,247.5,9192,27.564698473625814,9.9827545691906,41.623790734442515
12,W,270.0,770,2.309053288151858,6.600987012987013,1.7398004650671695
13,WNW,292.5,408,1.2234983656700753,4.056642156862745,0.14834931852244687
14,NW,315.0,253,0.7586889375356104,3.9037549407114627,0.082783676875845
15,NNW,337.5,167,0.5007946741835847,4.49562874251497,0.10309399466072917
