source_member,sha256,size_bytes,archive_instance,canonical_corpus_path,disposition
21. PSS®E  and  PSCAD/6.04b Envision Energy_Electrical Primary Diagram of BESS_ENS-D6G-24120-10100-000_0.25P-4h V2.1.pdf,8f1f0a8bff28982d271f3d5d08646d85186dea3cd9fceb49a08e28aa364136e4,232211,first_instance,oem/envision/product_docs/20_Envision_Electrical_Primary_Diagram_ENS-D6G-24120-10100-000_0.25P4h_V2.1.pdf,existing-byte-identical-no-copy
21. PSS®E  and  PSCAD/48. PSSE_UDM_GFMPCS260327&PPC260415_2520/Envision Energy GFM PCS and PPC PSSE UDM User Manual_V1.4a.pdf,65d841c8861303df8e08fc7808d58e88379af0e80b797a2d7b7ef7140369e59f,361423,first_instance,oem/envision/product_docs/39_Envision_GFM_PCS_and_PPC_PSSE_UDM_User_Manual_V1.4a.pdf,existing-byte-identical-no-copy
21. PSS®E  and  PSCAD/48. PSSE_UDM_GFMPCS260327&PPC260415_2520/ENVSG_PPC_2520_260416_LKA.dyr,cb528e42b8cd42f57631bcff957561c057c2ce53a0359905856af42556be6774,2408,first_instance,oem/envision/dynamic_models/ENVSG_PPC_2520_260416_LKA.dyr,existing-byte-identical-no-copy
21. PSS®E  and  PSCAD/49. PSCAD_PCS2520x4_690V_50Hz_UPPC_x64_260605aBB/Envision Energy GFL PCS PSCAD Model User Manual V4.1b1.pdf,86a9716a724649106143feff235bc655c6af154a7863f621e11641310e9b8c41,491678,first_instance,oem/envision/product_docs/41_Envision_GFL_PCS_PSCAD_Model_User_Manual_V4.1b1.pdf,existing-byte-identical-no-copy
21. PSS®E  and  PSCAD/49. PSCAD_PCS2520x4_690V_50Hz_UPPC_x64_260605aBB/PCS2520x4_UPPC_x64_260605aBB.pscx,4117e2972bdfa19117e21b4b52e6267fd897d0109c495acb60343756389d0b44,3002126,first_instance,oem/envision/dynamic_models/PCS2520x4_UPPC_x64_260605aBB.pscx,existing-byte-identical-no-copy
21. PSS®E  and  PSCAD/49. PSCAD_PCS2520x4_690V_50Hz_UPPC_x64_260605aBB/Envision Univers PPC PSCAD Model User Manual V1.1.5b.pdf,0c3e6085f7ffff169b5c5df6fec9f49cf21ae2fff3b4b203573a3317cfdd0397,962128,first_instance,oem/envision/product_docs/40_Envision_Univers_PPC_PSCAD_Model_User_Manual_V1.1.5b.pdf,existing-byte-identical-no-copy
21. PSS®E  and  PSCAD/48. PSSE_UDM_GFMPCS260327&PPC260415_2520/DLL PSSE V35/ENPPC_260415_PSSE_V35.dll,a5b368b2117461b97a0fd2fee8fb7aa1adfb5ca1bef76eba7f742eae71d0b4de,526848,first_instance,oem/envision/dynamic_models/ENPPC_260415_PSSE_V35.dll,existing-byte-identical-no-copy
21. PSS®E  and  PSCAD/48. PSSE_UDM_GFMPCS260327&PPC260415_2520/DLL PSSE V35/ENVSG01_20260327_PSSE_V35.dll,e4a87ab114829f3a95c007868da6c81bd8ac756e588e331ef355796433cfecff,143360,first_instance,oem/envision/dynamic_models/ENVSG01_20260327_PSSE_V35.dll,existing-byte-identical-no-copy
21. PSS®E  and  PSCAD/49. PSCAD_PCS2520x4_690V_50Hz_UPPC_x64_260605aBB/Interface/Blackbox_VoltageSourseSet_F1.obj,b442967a5ed6d919b7f637e67aec3206810c6f66c79a699eb5efd6db56dee06f,47457,first_instance,oem/envision/dynamic_models/Blackbox_VoltageSourseSet_F1.obj,existing-byte-identical-no-copy
21. PSS®E  and  PSCAD/49. PSCAD_PCS2520x4_690V_50Hz_UPPC_x64_260605aBB/Interface/Blackbox_UniversPPC_F1.obj,15fd1031c59520482cdb509c64e4bdd28df0283b5c4c044deaf8f754fdae517b,71100,first_instance,oem/envision/dynamic_models/Blackbox_UniversPPC_F1.obj,existing-byte-identical-no-copy
21. PSS®E  and  PSCAD/49. PSCAD_PCS2520x4_690V_50Hz_UPPC_x64_260605aBB/Interface/Blackbox_UniversPPC_if15.lib,abe4a84e78d376377028b7f6db963495d38bd5483c49d118b1ea6a33dd96b59b,71608,first_instance,oem/envision/dynamic_models/Blackbox_UniversPPC_if15.lib,existing-byte-identical-no-copy
21. PSS®E  and  PSCAD/49. PSCAD_PCS2520x4_690V_50Hz_UPPC_x64_260605aBB/Interface/MY_VST_PCS_F2.obj,b46c757368619f3f8e112b27c9486944a2e9f9f31fa2052bae741884754579b4,1980,first_instance,oem/envision/dynamic_models/MY_VST_PCS_F2.obj,existing-byte-identical-no-copy
21. PSS®E  and  PSCAD/49. PSCAD_PCS2520x4_690V_50Hz_UPPC_x64_260605aBB/Interface/FortranInterface_F1.obj,e81b971ddb5c1d990bf673b86cf9cce989bb32fe1348f6e835689429aaa9cddd,6525,first_instance,oem/envision/dynamic_models/FortranInterface_F1.obj,existing-byte-identical-no-copy
21. PSS®E  and  PSCAD/49. PSCAD_PCS2520x4_690V_50Hz_UPPC_x64_260605aBB/Interface/Blackbox_PQVCmdInput_F1.obj,c93333f3755632629523250be5178da46d0e9d63b3f90f1f0db694b0a90b4dbe,2705,first_instance,oem/envision/dynamic_models/Blackbox_PQVCmdInput_F1.obj,existing-byte-identical-no-copy
