scenario,year,label,revenue_usd,opex_usd,cfads_usd,equity_fcf_usd,dscr,debt_outstanding
edge_extreme_stress,1,construction,0.0,0.0,0.0,0.0,inf,152533368.0625
edge_extreme_stress,2,construction,0.0,0.0,0.0,0.0,inf,152533368.0625
edge_extreme_stress,3,construction,0.0,0.0,0.0,0.0,inf,152533368.0625
edge_extreme_stress,4,transition,6680534.113278065,1800000.0,4880534.113278065,0.0,0.0,152533368.0625
edge_extreme_stress,5,operational,12971910.899569057,1800000.0,11171910.899569057,0.0,0.0,152533368.0625
edge_extreme_stress,6,operational,12405176.928228663,1800000.0,10605176.928228663,0.0,0.0,152533368.0625
edge_extreme_stress,7,operational,11863203.178937119,1800000.0,10063203.178937119,0.0,0.0,152533368.0625
edge_extreme_stress,8,operational,11344907.894420447,1800000.0,9544907.894420447,0.0,0.23418272528373188,152533368.0625
edge_extreme_stress,9,operational,10849256.578644797,1800000.0,9049256.578644797,0.0,0.5360619310026428,152533368.0625
edge_extreme_stress,10,operational,10375259.932004975,1800000.0,8575259.932004975,0.0,0.5088683282454595,152533368.0625
edge_extreme_stress,11,operational,9921971.876723204,1800000.0,8121971.876723204,0.0,0.482862795511648,152533368.0625
edge_extreme_stress,12,operational,9488487.668516848,1800000.0,7688487.668516848,0.0,0.4579934268293138,152533368.0625
edge_extreme_stress,13,operational,9073942.090766113,1800000.0,7273942.090766113,0.0,0.43421058396319817,152533368.0625
edge_extreme_stress,14,operational,8677507.7275773,1800000.0,6877507.727577301,0.0,inf,152533368.0625
edge_extreme_stress,15,operational,8298393.312294799,1800000.0,6498393.312294799,0.0,inf,152533368.0625
edge_extreme_stress,16,operational,7935842.148165413,1800000.0,6135842.148165413,0.0,inf,152533368.0625
edge_extreme_stress,17,operational,7589130.598002847,1800000.0,5789130.598002847,0.0,inf,152533368.0625
edge_extreme_stress,18,operational,7257566.639837674,1800000.0,5457566.639837674,0.0,inf,152533368.0625
edge_extreme_stress,19,operational,6940488.485670009,1800000.0,5140488.485670009,0.0,inf,152533368.0625
edge_extreme_stress,20,operational,6637263.260567921,1800000.0,4837263.260567921,0.0,inf,152533368.0625
edge_extreme_stress,21,operational,6347285.739475147,1800000.0,4547285.739475147,0.0,inf,152533368.0625
edge_extreme_stress,22,operational,6069977.139206816,1800000.0,4269977.139206816,0.0,inf,152533368.0625
edge_extreme_stress,23,operational,5804783.963222053,1800000.0,4004783.963222053,0.0,inf,152533368.0625
edge_extreme_stress,24,operational,5551176.89686769,1800000.0,3751176.8968676897,0.0,,
example_a,1,construction,0.0,0.0,0.0,0.0,inf,100344600.0
example_a,2,construction,0.0,0.0,0.0,0.0,inf,100344600.0
example_a,3,transition,24083325.478367426,1000000.0,23083325.478367426,0.0,0.0,100344600.0
example_a,4,operational,46763738.79294645,1000000.0,45763738.79294645,0.0,0.0,97090906.97230439
example_a,5,operational,45174679.70774924,1000000.0,44174679.70774924,0.0,0.0,93609455.43267009
example_a,6,operational,43639617.77593252,1000000.0,42639617.77593252,0.0,2.2459370416926983,89884302.2852614
example_a,7,operational,42156718.14276977,1000000.0,41156718.14276977,0.0,4.452671960881472,85898388.41753408
example_a,8,operational,40724208.30296691,1000000.0,39724208.30296691,0.0,4.2980613670037675,81633460.57906586
example_a,9,operational,39340375.981992304,1000000.0,38340375.981992304,0.0,4.148704531170452,77069987.79190487
example_a,10,operational,38003567.089400336,1000000.0,37003567.089400336,0.0,4.004422927622734,72187071.9096426
example_a,11,operational,36712183.74170226,1000000.0,35712183.74170226,0.0,3.8650440970111033,66962351.91562198
example_a,12,operational,35464682.35242111,1000000.0,34464682.35242111,0.0,3.730401440255208,61371901.522019915
example_a,13,operational,34259571.78704758,1000000.0,33259571.78704758,0.0,3.6003340194084936,55390119.60086571
example_a,14,operational,33095411.580691595,1000000.0,32095411.580691595,0.0,3.474686365289579,48989612.9452307
example_a,15,operational,31970810.216299158,1000000.0,30970810.216299158,0.0,3.353308291650434,42141070.82370125
example_a,16,operational,30884423.461376373,1000000.0,29884423.461376373,0.0,3.236054715659222,34813130.75366473
example_a,17,operational,29834952.761232514,1000000.0,28834952.761232514,0.0,3.1227854844832446,26972234.878725655
example_a,18,operational,28821143.686821707,1000000.0,27821143.686821707,0.0,3.013365207764703,18582476.29254085
example_a,19,operational,27841784.43532776,1000000.0,26841784.43532776,0.0,2.9076630957890255,9605434.605323102
example_a,20,operational,26895704.381700117,1000000.0,25895704.381700117,0.0,inf,1.1362135410308838e-07
example_a,21,operational,25981772.679409336,1000000.0,24981772.679409336,0.0,inf,1.1362135410308838e-07
example_a,22,operational,25098896.908749793,1000000.0,24098896.908749793,0.0,inf,1.1362135410308838e-07
example_a,23,operational,24246021.77107383,1000000.0,23246021.77107383,0.0,inf,1.1362135410308838e-07
example_b,1,construction,0.0,0.0,0.0,0.0,inf,76479979.8
example_b,2,construction,0.0,0.0,0.0,0.0,inf,76479979.8
example_b,3,transition,26799236.497313604,850000.0,25949236.497313604,0.0,0.0,76479979.8
example_b,4,operational,52037352.421968155,850000.0,51187352.421968155,0.0,0.0,73706805.01910862
example_b,5,operational,50319614.5750294,850000.0,49469614.5750294,0.0,0.0,70706229.90618415
example_b,6,operational,48658578.7541061,850000.0,47808578.7541061,0.0,2.869052071581956,67459607.63399987
example_b,7,operational,47052373.24183464,850000.0,46202373.24183464,0.0,5.6594797893281745,63946762.335496485
example_b,8,operational,45499188.10569641,850000.0,44649188.10569641,0.0,5.469559776509896,60145863.72251582
example_b,9,operational,43997273.158518076,850000.0,43147273.158518076,0.0,5.285908967998238,56033291.42327074
example_b,10,operational,42544935.986295156,850000.0,41694935.986295156,0.0,5.108320419185025,51583488.19548757
example_b,11,operational,41140540.041116476,850000.0,40290540.041116476,0.0,4.936594016643316,46768801.10302617
example_b,12,operational,39782502.79704078,850000.0,38932502.79704078,0.0,4.770536252632109,41559309.66898294
example_b,13,operational,38469293.9668472,850000.0,37619293.9668472,0.0,4.609960007044575,35922639.937348165
example_b,14,operational,37199433.777650304,850000.0,36349433.777650304,0.0,4.454684336554103,29823763.28771934
example_b,15,operational,35971491.30343661,850000.0,35121491.30343661,0.0,4.304534270720598,23224778.752820946
example_b,16,operational,34784082.85264355,850000.0,33934082.85264355,0.0,4.159340614827229,16084677.486060888
example_b,17,operational,33635870.40896405,850000.0,32785870.408964053,0.0,4.018939759225486,8359087.915426504
example_b,18,operational,32525560.12361961,850000.0,31675560.12361961,0.0,inf,1.0058283805847168e-07
example_b,19,operational,31451900.85740304,850000.0,30601900.85740304,0.0,inf,1.0058283805847168e-07
example_b,20,operational,30413682.770847984,850000.0,29563682.770847984,0.0,inf,1.0058283805847168e-07
example_b,21,operational,29409735.9609365,850000.0,28559735.9609365,0.0,inf,1.0058283805847168e-07
example_b,22,operational,28438929.142808497,850000.0,27588929.142808497,0.0,inf,1.0058283805847168e-07
example_b,23,operational,27500168.374987636,850000.0,26650168.374987636,0.0,inf,1.0058283805847168e-07
zz_bad,1,construction,0.0,0.0,0.0,0.0,inf,70.0
zz_bad,2,construction,0.0,0.0,0.0,0.0,inf,70.0
zz_bad,3,transition,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,4,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,5,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,6,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,7,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,8,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,9,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,10,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,11,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,12,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,13,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,14,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,15,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,16,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,17,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,18,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,19,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,20,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,21,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,22,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
zz_bad,23,operational,0.0,300000.0,-300000.0,0.0,inf,70.0
