date,lkr_per_usd
2005-01-03,103.45
2005-01-04,102.7
2005-01-05,100.3
2005-01-06,99.3
2005-01-07,98.95
2005-01-10,97.95
2005-01-11,98.1
2005-01-12,98.15
2005-01-13,98.4
2005-01-14,95.75
2005-01-18,98.175
2005-01-19,98.55
2005-01-20,98.5
2005-01-21,97.75
2005-01-24,97.75
2005-01-25,98.65
2005-01-26,98.7
2005-01-27,98.95
2005-01-28,99.5
2005-01-31,99.0
2005-02-01,99.32
2005-02-02,98.75
2005-02-03,99.35
2005-02-04,99.25
2005-02-07,99.44
2005-02-08,99.35
2005-02-09,99.4
2005-02-10,99.42
2005-02-11,99.42
2005-02-14,99.35
2005-02-15,99.3
2005-02-16,99.28
2005-02-17,99.0
2005-02-18,99.25
2005-02-22,99.33
2005-02-23,99.0
2005-02-24,99.15
2005-02-25,99.37
2005-02-28,99.45
2005-03-01,99.53
2005-03-02,99.58
2005-03-03,99.6
2005-03-04,99.68
2005-03-07,99.63
2005-03-08,99.65
2005-03-09,99.58
2005-03-10,99.43
2005-03-11,99.28
2005-03-14,98.75
2005-03-15,99.2
2005-03-16,99.28
2005-03-17,99.25
2005-03-18,99.3
2005-03-21,99.35
2005-03-22,99.4
2005-03-23,99.42
2005-03-24,99.42
2005-03-25,99.0
2005-03-28,99.4
2005-03-29,99.38
2005-03-30,99.4
2005-03-31,99.45
2005-04-01,99.72
2005-04-04,99.7
2005-04-05,99.82
2005-04-06,99.7
2005-04-07,99.6
2005-04-08,99.58
2005-04-11,99.6
2005-04-12,99.6
2005-04-13,99.5
2005-04-14,99.5
2005-04-15,99.6
2005-04-18,99.5
2005-04-19,99.68
2005-04-20,99.75
2005-04-21,99.75
2005-04-22,99.5
2005-04-25,99.8
2005-04-26,99.77
2005-04-27,99.82
2005-04-28,99.85
2005-04-29,99.75
2005-05-02,99.5
2005-05-03,99.76
2005-05-04,99.79
2005-05-05,99.85
2005-05-06,99.85
2005-05-09,99.86
2005-05-10,99.85
2005-05-11,99.83
2005-05-12,99.85
2005-05-13,99.85
2005-05-16,99.82
2005-05-17,99.68
2005-05-18,99.72
2005-05-19,99.83
2005-05-20,99.9
2005-05-23,99.5
2005-05-24,99.5
2005-05-25,99.9
2005-05-26,99.92
2005-05-27,99.95
2005-05-31,99.9
2005-06-01,99.92
2005-06-02,99.93
2005-06-03,99.92
2005-06-06,99.92
2005-06-07,99.94
2005-06-08,99.92
2005-06-09,99.85
2005-06-10,99.92
2005-06-13,99.99
2005-06-14,100.15
2005-06-15,100.4
2005-06-16,100.25
2005-06-17,99.9
2005-06-20,100.0
2005-06-21,99.75
2005-06-22,99.87
2005-06-23,99.75
2005-06-24,99.74
2005-06-27,99.7
2005-06-28,99.78
2005-06-29,100.08
2005-06-30,100.12
2005-07-01,100.1
2005-07-05,100.08
2005-07-06,99.9
2005-07-07,99.75
2005-07-08,100.1
2005-07-11,100.09
2005-07-12,100.08
2005-07-13,99.75
2005-07-14,100.4
2005-07-15,100.5
2005-07-18,100.31
2005-07-19,100.2
2005-07-20,100.4
2005-07-21,100.33
2005-07-22,100.35
2005-07-25,100.62
2005-07-26,100.73
2005-07-27,100.68
2005-07-28,100.62
2005-07-29,100.67
2005-08-01,100.36
2005-08-02,100.45
2005-08-03,100.51
2005-08-04,100.55
2005-08-05,100.4
2005-08-08,100.66
2005-08-09,100.47
2005-08-10,100.64
2005-08-11,100.77
2005-08-12,100.79
2005-08-15,100.85
2005-08-16,100.86
2005-08-17,100.9
2005-08-18,100.87
2005-08-19,100.7
2005-08-22,100.83
2005-08-23,100.71
2005-08-24,100.8
2005-08-25,100.7
2005-08-26,100.8
2005-08-29,100.94
2005-08-30,101.22
2005-08-31,101.2
2005-09-01,101.22
2005-09-02,101.35
2005-09-06,101.3
2005-09-07,101.28
2005-09-08,101.42
2005-09-09,101.51
2005-09-12,101.41
2005-09-13,101.3
2005-09-14,101.22
2005-09-15,101.25
2005-09-16,101.35
