time,ghi,dni,dhi,temp_air,wind_speed
1990-01-01 00:00:00+00:00,0.0,0.0,0.0,25.22,3.8
1990-01-01 01:00:00+00:00,20.45,0.0,20.45,25.32,3.78
1990-01-01 02:00:00+00:00,121.95,206.68,72.6,25.43,3.76
1990-01-01 03:00:00+00:00,228.35,191.47,141.85,25.54,3.74
1990-01-01 04:00:00+00:00,296.3,209.63,164.2,25.65,3.72
1990-01-01 05:00:00+00:00,359.45,165.67,233.25,25.75,3.7
1990-01-01 06:00:00+00:00,703.75,583.27,215.2,25.86,3.68
1990-01-01 07:00:00+00:00,633.45,454.35,246.1,25.97,3.65
1990-01-01 08:00:00+00:00,573.0,479.92,186.4,28.58,3.38
1990-01-01 09:00:00+00:00,506.45,539.27,129.05,28.5,3.38
1990-01-01 10:00:00+00:00,290.45,332.01,110.3,28.36,3.52
1990-01-01 11:00:00+00:00,105.6,154.26,52.45,27.77,3.59
1990-01-01 12:00:00+00:00,8.85,28.53,5.45,27.1,3.24
1990-01-01 13:00:00+00:00,0.0,0.0,0.0,26.44,3.24
1990-01-01 14:00:00+00:00,0.0,0.0,0.0,26.07,3.24
1990-01-01 15:00:00+00:00,0.0,0.0,0.0,25.88,3.45
1990-01-01 16:00:00+00:00,0.0,0.0,0.0,25.55,3.93
1990-01-01 17:00:00+00:00,0.0,0.0,0.0,25.08,4.28
1990-01-01 18:00:00+00:00,0.0,0.0,0.0,24.64,4.34
1990-01-01 19:00:00+00:00,0.0,0.0,0.0,24.66,4.14
1990-01-01 20:00:00+00:00,0.0,0.0,0.0,24.51,4.28
1990-01-01 21:00:00+00:00,0.0,0.0,0.0,24.23,4.14
1990-01-01 22:00:00+00:00,0.0,0.0,0.0,24.03,4.0
1990-01-01 23:00:00+00:00,0.0,0.0,0.0,23.77,3.93
1990-01-02 00:00:00+00:00,0.0,0.0,0.0,23.59,3.79
1990-01-02 01:00:00+00:00,32.1,0.0,32.1,23.49,3.72
1990-01-02 02:00:00+00:00,258.2,667.42,99.7,23.79,3.59
1990-01-02 03:00:00+00:00,393.6,494.99,170.45,24.66,5.03
1990-01-02 04:00:00+00:00,595.45,625.07,201.9,25.59,4.76
1990-01-02 05:00:00+00:00,769.65,764.17,187.6,26.62,4.28
1990-01-02 06:00:00+00:00,812.95,765.37,171.55,27.64,4.07
1990-01-02 07:00:00+00:00,808.6,746.57,171.45,28.59,4.41
1990-01-02 08:00:00+00:00,662.55,606.91,172.85,29.1,4.41
1990-01-02 09:00:00+00:00,568.1,602.99,145.1,29.27,4.48
1990-01-02 10:00:00+00:00,387.15,539.19,93.55,29.14,4.48
1990-01-02 11:00:00+00:00,163.1,288.81,63.0,28.61,4.34
1990-01-02 12:00:00+00:00,14.95,55.67,8.2,27.68,4.14
1990-01-02 13:00:00+00:00,0.0,0.0,0.0,26.78,4.14
1990-01-02 14:00:00+00:00,0.0,0.0,0.0,26.11,4.28
1990-01-02 15:00:00+00:00,0.0,0.0,0.0,25.47,4.28
1990-01-02 16:00:00+00:00,0.0,0.0,0.0,24.9,4.14
1990-01-02 17:00:00+00:00,0.0,0.0,0.0,24.43,3.93
1990-01-02 18:00:00+00:00,0.0,0.0,0.0,24.07,3.72
1990-01-02 19:00:00+00:00,0.0,0.0,0.0,23.82,3.79
1990-01-02 20:00:00+00:00,0.0,0.0,0.0,23.6,3.45
1990-01-02 21:00:00+00:00,0.0,0.0,0.0,23.41,3.1
1990-01-02 22:00:00+00:00,0.0,0.0,0.0,23.26,2.9
1990-01-02 23:00:00+00:00,0.0,0.0,0.0,23.14,2.9
1990-01-03 00:00:00+00:00,0.0,0.0,0.0,23.05,2.97
1990-01-03 01:00:00+00:00,39.35,0.0,39.35,23.01,3.03
1990-01-03 02:00:00+00:00,267.3,625.01,119.65,23.55,3.1
1990-01-03 03:00:00+00:00,498.7,807.59,135.35,24.73,3.66
1990-01-03 04:00:00+00:00,641.3,731.0,181.4,26.01,4.76
1990-01-03 05:00:00+00:00,573.85,390.26,276.6,27.02,4.48
1990-01-03 06:00:00+00:00,525.8,263.32,305.0,27.79,4.07
1990-01-03 07:00:00+00:00,561.15,242.04,354.35,28.25,3.86
1990-01-03 08:00:00+00:00,462.05,240.77,267.45,28.63,3.52
1990-01-03 09:00:00+00:00,372.5,219.85,217.9,28.66,3.59
1990-01-03 10:00:00+00:00,240.85,157.19,154.95,28.5,3.66
1990-01-03 11:00:00+00:00,104.1,49.33,86.9,28.03,3.59
1990-01-03 12:00:00+00:00,10.95,1.22,10.8,27.26,3.66
1990-01-03 13:00:00+00:00,0.0,0.0,0.0,26.49,3.79
1990-01-03 14:00:00+00:00,0.0,0.0,0.0,26.06,4.0
1990-01-03 15:00:00+00:00,0.0,0.0,0.0,25.65,4.34
1990-01-03 16:00:00+00:00,0.0,0.0,0.0,25.19,4.55
1990-01-03 17:00:00+00:00,0.0,0.0,0.0,24.67,4.55
1990-01-03 18:00:00+00:00,0.0,0.0,0.0,24.3,4.41
1990-01-03 19:00:00+00:00,0.0,0.0,0.0,24.01,4.21
1990-01-03 20:00:00+00:00,0.0,0.0,0.0,23.78,3.93
1990-01-03 21:00:00+00:00,0.0,0.0,0.0,23.62,3.59
1990-01-03 22:00:00+00:00,0.0,0.0,0.0,23.49,3.38
1990-01-03 23:00:00+00:00,0.0,0.0,0.0,23.43,3.52
1990-01-04 00:00:00+00:00,0.0,0.0,0.0,23.43,3.79
1990-01-04 01:00:00+00:00,42.7,0.0,42.7,23.44,3.93
1990-01-04 02:00:00+00:00,241.15,488.65,126.3,23.86,3.93
1990-01-04 03:00:00+00:00,482.25,772.14,135.5,24.82,4.62
1990-01-04 04:00:00+00:00,704.7,896.97,140.75,25.96,4.9
1990-01-04 05:00:00+00:00,788.45,801.84,177.65,27.08,4.9
1990-01-04 06:00:00+00:00,778.65,688.51,200.95,28.07,4.97
1990-01-04 07:00:00+00:00,725.9,581.18,228.75,28.78,4.83
1990-01-04 08:00:00+00:00,639.7,573.5,175.35,29.18,5.03
1990-01-04 09:00:00+00:00,496.9,469.23,166.1,29.16,5.24
1990-01-04 10:00:00+00:00,367.2,468.59,110.2,28.84,5.38
1990-01-04 11:00:00+00:00,147.3,201.56,76.6,28.37,5.03
1990-01-04 12:00:00+00:00,14.95,25.92,11.7,27.58,4.69
1990-01-04 13:00:00+00:00,0.0,0.0,0.0,26.71,4.62
1990-01-04 14:00:00+00:00,0.0,0.0,0.0,26.19,4.62
1990-01-04 15:00:00+00:00,0.0,0.0,0.0,25.7,4.55
1990-01-04 16:00:00+00:00,0.0,0.0,0.0,25.31,4.34
1990-01-04 17:00:00+00:00,0.0,0.0,0.0,25.01,4.07
1990-01-04 18:00:00+00:00,0.0,0.0,0.0,24.82,4.0
1990-01-04 19:00:00+00:00,0.0,0.0,0.0,24.77,3.86
1990-01-04 20:00:00+00:00,0.0,0.0,0.0,24.6,3.86
1990-01-04 21:00:00+00:00,0.0,0.0,0.0,24.43,3.72
1990-01-04 22:00:00+00:00,0.0,0.0,0.0,24.2,3.72
1990-01-04 23:00:00+00:00,0.0,0.0,0.0,24.13,3.59
1990-01-05 00:00:00+00:00,0.0,0.0,0.0,23.91,3.79
1990-01-05 01:00:00+00:00,0.0,0.0,0.0,23.89,3.72
1990-01-05 02:00:00+00:00,261.05,788.41,76.65,24.14,3.79
