variable,label,metric,base_value,low_value,high_value,impact,impact_dir
capex.usd_total,capex.usd_total,project_irr,0.17875744702652696,0.21243130957744683,0.15186294953428003,0.06056836004316679,-1
capex.usd_total,capex.usd_total,dscr_min,1.2999999999999998,1.2999999999999998,1.3,2.220446049250313e-16,0
project.capacity_factor,project.capacity_factor,project_irr,0.17875744702652696,0.0972414764989189,0.26485089649879257,0.16760941999987367,1
project.capacity_factor,project.capacity_factor,dscr_min,1.2999999999999998,1.136858086719521,1.3,0.163141913280479,1
opex.usd_per_year,opex.usd_per_year,project_irr,0.17875744702652696,0.16219830554329562,0.1286566126491948,0.033541692894100805,-1
opex.usd_per_year,opex.usd_per_year,dscr_min,1.2999999999999998,1.2999999999999998,1.2999999999999998,0.0,0
debt_ratio,debt_ratio,project_irr,0.17875744702652696,0.17875744702652696,0.17875744702652696,0.0,0
debt_ratio,debt_ratio,dscr_min,1.2999999999999998,1.2999999999999998,1.3,2.220446049250313e-16,0
tariff_lkr_per_kwh,tariff_lkr_per_kwh,project_irr,0.17875744702652696,0.1296566582195524,0.2295533541317738,0.09989669591222139,1
tariff_lkr_per_kwh,tariff_lkr_per_kwh,dscr_min,1.2999999999999998,1.2999999999999998,1.3,2.220446049250313e-16,0
