variable,label,metric,base_value,low_value,high_value,impact,impact_dir
capex.usd_total,capex.usd_total,project_irr,0.17875744702652696,0.21243130957744683,0.15186294953428003,0.06056836004316679,-1
capex.usd_total,capex.usd_total,dscr_min,1.2999999999999998,1.2999999999999998,1.3,2.220446049250313e-16,0
capex.usd_total,capex.usd_total,discount_rate_used,0.1,0.1,0.1,0.0,0
capex.usd_total,capex.usd_total,wacc_proxy,0.1,0.1,0.1,0.0,0
project.capacity_factor,project.capacity_factor,project_irr,0.17875744702652696,0.0972414764989189,0.26485089649879257,0.16760941999987367,1
project.capacity_factor,project.capacity_factor,dscr_min,1.2999999999999998,1.136858086719521,1.3,0.163141913280479,1
project.capacity_factor,project.capacity_factor,discount_rate_used,0.1,0.1,0.1,0.0,0
project.capacity_factor,project.capacity_factor,wacc_proxy,0.1,0.1,0.1,0.0,0
opex.usd_per_year,opex.usd_per_year,project_irr,0.17875744702652696,0.16219830554329562,0.1286566126491948,0.033541692894100805,-1
opex.usd_per_year,opex.usd_per_year,dscr_min,1.2999999999999998,1.2999999999999998,1.2999999999999998,0.0,0
opex.usd_per_year,opex.usd_per_year,discount_rate_used,0.1,0.1,0.1,0.0,0
opex.usd_per_year,opex.usd_per_year,wacc_proxy,0.1,0.1,0.1,0.0,0
Financing_Terms.debt_ratio,Financing_Terms.debt_ratio,project_irr,0.17875744702652696,0.17875744702652696,0.17875744702652696,0.0,0
Financing_Terms.debt_ratio,Financing_Terms.debt_ratio,dscr_min,1.2999999999999998,1.2999999999999998,1.3,2.220446049250313e-16,0
Financing_Terms.debt_ratio,Financing_Terms.debt_ratio,discount_rate_used,0.1,0.1,0.1,0.0,0
Financing_Terms.debt_ratio,Financing_Terms.debt_ratio,wacc_proxy,0.1,0.1,0.1,0.0,0
tariff.lkr_per_kwh,tariff.lkr_per_kwh,project_irr,0.17875744702652696,0.1296566582195524,0.2295533541317738,0.09989669591222139,1
tariff.lkr_per_kwh,tariff.lkr_per_kwh,dscr_min,1.2999999999999998,1.2999999999999998,1.3,2.220446049250313e-16,0
tariff.lkr_per_kwh,tariff.lkr_per_kwh,discount_rate_used,0.1,0.1,0.1,0.0,0
tariff.lkr_per_kwh,tariff.lkr_per_kwh,wacc_proxy,0.1,0.1,0.1,0.0,0
fx.start_lkr_per_usd,fx.start_lkr_per_usd,project_irr,0.17875744702652696,0.1630394359319638,0.10672280680671697,0.05631662912524682,-1
fx.start_lkr_per_usd,fx.start_lkr_per_usd,dscr_min,1.2999999999999998,1.2999999999999998,1.1870290026809978,0.11297099731900206,-1
fx.start_lkr_per_usd,fx.start_lkr_per_usd,discount_rate_used,0.1,0.1,0.1,0.0,0
fx.start_lkr_per_usd,fx.start_lkr_per_usd,wacc_proxy,0.1,0.1,0.1,0.0,0
fx.annual_depr,fx.annual_depr,project_irr,0.17875744702652696,0.19824557294075973,0.15956229286441825,0.038683280076341475,-1
fx.annual_depr,fx.annual_depr,dscr_min,1.2999999999999998,1.2999999999999998,1.2999999999999998,0.0,0
fx.annual_depr,fx.annual_depr,discount_rate_used,0.1,0.1,0.1,0.0,0
fx.annual_depr,fx.annual_depr,wacc_proxy,0.1,0.1,0.1,0.0,0
