scenario,equity_irr,project_irr,equity_npv,project_npv,dscr_min,llcr_min,plcr_min
1,0.18714872721936815,0.12185948502638322,20533804.656757593,20390637.774180774,1.3,1.8062590300103256,1.8062590300103256
2,0.1625831169822216,0.11099401781534768,12976568.884879244,10598417.221233582,1.2999999999999998,1.6647112390279037,1.6647112390279037
3,0.20053232159638812,0.1278052488316821,23352444.56187427,24251847.53770996,1.3,1.8855059725412457,1.8855059725412457
4,0.17025809056892371,0.11422201817007105,11835567.671901014,10499410.224213602,1.3,1.7018207829672143,1.7018207829672143
5,0.19580280487385116,0.12575943701891457,20789756.164122544,21325212.121977884,1.3,1.859032668277354,1.859032668277354
6,0.12816361851974412,0.09601580606479088,2130916.2909902805,-3653577.24161973,1.2999999999999998,1.4607321880410709,1.4607321880410709
7,0.23167918426470369,0.1413295588847745,31010427.930277497,33888139.783518165,1.3,2.063247934258678,2.063247934258678
8,0.24306945453873796,0.1462190097182412,35020829.16673247,38672796.40254024,1.3,2.128919105508994,2.128919105508994
9,0.12263148506036248,0.09384073967687634,661227.0799683766,-5546108.259814025,1.3,1.4332895911364694,1.4332895911364694
10,0.1749249935814201,0.11630259390915532,13381646.730219943,12354131.950067203,1.2999999999999998,1.729821378034554,1.729821378034554
11,0.17077338306743384,0.11455329372647682,14705731.601152457,13167410.543920787,1.3,1.7087443594323435,1.7087443594323435
12,0.22892032162061016,0.1402769062228455,29937645.668214027,32662453.379650105,1.3,2.0524009175474505,2.0524009175474505
13,0.1271313924670998,0.09562461585818505,1736129.2544760285,-3751401.706662655,1.2999999999999998,1.4564990658064294,1.4564990658064294
14,0.19908693220256213,0.1272617878367308,25074295.416312262,25984256.115259226,1.3,1.8806260770163914,1.8806260770163914
15,0.20217296842876875,0.12858069316136267,24132512.950477958,25186437.836209595,1.3,1.8971849440320134,1.8971849440320134
16,0.1882629475370723,0.1223455498430539,18205495.365291312,18158960.341987286,1.2999999999999998,1.8122706707195535,1.8122706707195535
17,0.21584242811899812,0.13449594572861878,30581273.917707436,32751885.81942235,1.2999999999999998,1.9722852770755834,1.9722852770755834
18,0.18579298965038538,0.12123579581834454,19315556.753582582,19057099.10021122,1.3,1.7976586669060324,1.7976586669060324
19,0.3077708666822909,0.17253744131132698,50958381.05713649,57776715.16730971,1.3,2.475642392025269,2.475642392025269
20,0.13550769853684175,0.09913272746801094,4032384.5273770774,-768466.3530760319,1.2999999999999998,1.5045823845023238,1.5045823845023238
21,0.15190414333228297,0.10629099682917209,9629252.184065344,6147585.614182702,1.3,1.6023054357523767,1.6023054357523767
22,0.1716405741699425,0.11507490958271793,15060778.623266013,13666504.589698784,1.3,1.719226582644195,1.719226582644195
23,0.21792708533990113,0.13553267237031386,29788850.179145336,32055971.634235155,1.3,1.9887579991646986,1.9887579991646986
24,0.16709414733705952,0.1129645370726422,12629176.628657958,10915642.098757809,1.3,1.6896295985827883,1.6896295985827883
25,0.17782456146724557,0.11768843653967243,16939394.376824655,16009188.773161547,1.2999999999999998,1.7509298386594514,1.7509298386594514
