Filename,Category,Reason,Argparse,Typer,Click,Confidence,Size,Action
add_charts_smoke_and_run.sh,migrations,One-time script: add_*,No,No,No,high,1428,MOVE
add_core_config_smokes.sh,migrations,One-time script: add_*,No,No,No,high,2445,MOVE
add_eof_markers.sh,migrations,One-time script: add_*,No,No,No,high,1227,MOVE
add_heavy_assert_tests.sh,migrations,One-time script: add_*,No,No,No,high,1548,MOVE
add_minimal_core_api.sh,migrations,One-time script: add_*,No,No,No,high,1639,MOVE
add_minimal_report_api.sh,migrations,One-time script: add_*,No,No,No,high,1641,MOVE
add_reporting_smokes.sh,migrations,One-time script: add_*,No,No,No,high,2727,MOVE
add_run_matrix.sh,migrations,One-time script: add_*,No,No,No,high,4001,MOVE
align_scenario_filenames.sh,migrations,One-time script: align_*,No,No,No,high,1289,MOVE
append_run_matrix_minimal.sh,migrations,One-time script: append_*,No,No,No,high,3831,MOVE
apply_cli_and_scenarios_fixes.sh,migrations,One-time script: apply_*,No,No,No,high,7986,MOVE
apply_patches.sh,migrations,One-time script: apply_*,No,No,No,high,10883,MOVE
bootstrap_v14_labels.sh,migrations,One-time script: bootstrap_*,No,No,No,high,855,MOVE
cleanup_dsstore_and_push.sh,migrations,One-time script: cleanup_*,No,No,No,high,1368,MOVE
commit_and_tag_heavy.sh,migrations,One-time script: commit_and_tag_*,No,No,No,high,638,MOVE
emit_matrix_jsonl.sh,migrations,One-time script: emit_*,No,No,No,high,1672,MOVE
fix_and_test.sh,migrations,One-time script: fix_*,No,No,No,high,13534,MOVE
fix_api_coverage_now.sh,migrations,One-time script: fix_*,No,No,No,high,1127,MOVE
fix_cashflow_coverage.sh,migrations,One-time script: fix_*,No,No,No,high,1563,MOVE
fix_cashflow_validation_compat.py,migrations,One-time script: fix_*,No,No,No,high,2660,MOVE
fix_construction_test_expectation.py,migrations,One-time script: fix_*,No,No,No,high,1911,MOVE
fix_core_debt_imports.sh,migrations,One-time script: fix_*,No,No,No,high,842,MOVE
fix_fx_schema.sh,migrations,One-time script: fix_*,No,No,No,high,861,MOVE
fix_fx_schema_cleanup.sh,migrations,One-time script: fix_*,No,No,No,high,1138,MOVE
fix_indent.py,migrations,One-time script: fix_*,No,No,No,high,1066,MOVE
fix_load_config_and_rerun.sh,migrations,One-time script: fix_*,No,No,No,high,3175,MOVE
fix_matrix_and_validator_strict.sh,migrations,One-time script: fix_*,No,No,No,high,3164,MOVE
fix_monte_carlo_import_bridge.sh,migrations,One-time script: fix_*,No,No,No,high,3210,MOVE
fix_mypy_sprint1.py,migrations,One-time script: fix_*,No,No,No,high,863,MOVE
fix_packaging_and_install.sh,migrations,One-time script: fix_*,No,No,No,high,2609,MOVE
fix_remaining_imports.sh,migrations,One-time script: fix_*,No,No,No,high,2010,MOVE
fix_reporting_shim_syntax.sh,migrations,One-time script: fix_*,No,No,No,high,3346,MOVE
fix_run_dir_and_validators.sh,migrations,One-time script: fix_*,No,No,No,high,4763,MOVE
fix_run_matrix_signature.sh,migrations,One-time script: fix_*,No,No,No,high,4735,MOVE
fix_scenario_runner_syntax.sh,migrations,One-time script: fix_*,No,No,No,high,1137,MOVE
fix_schema_guard_test.py,migrations,One-time script: fix_*,No,No,No,high,2171,MOVE
fix_tax_calculator_test.py,migrations,One-time script: fix_*,No,No,No,high,770,MOVE
fix_tax_calculator_test_final.py,migrations,One-time script: fix_*,No,No,No,high,852,MOVE
fix_test_imports_libcst.py,migrations,One-time script: fix_*,No,No,No,high,6689,MOVE
fix_zero_tariff_validation.py,migrations,One-time script: fix_*,No,No,No,high,1137,MOVE
force_base_assign.py,migrations,One-time script: force_*,No,No,No,high,1336,MOVE
force_base_assign.sh,migrations,One-time script: force_*,No,No,No,high,1544,MOVE
force_matrix_fallback.sh,migrations,One-time script: force_*,No,No,No,high,3429,MOVE
harden_reporting_smokes.sh,migrations,One-time script: harden_*,No,No,No,high,690,MOVE
harden_strict_validator.sh,migrations,One-time script: harden_*,No,No,No,high,2216,MOVE
hotfix_loader_mc_and_tests.sh,migrations,One-time script: hotfix_*,No,No,No,high,3795,MOVE
hotfix_scenarios_module.sh,migrations,One-time script: hotfix_*,No,No,No,high,8866,MOVE
inject_base_guard.sh,migrations,One-time script: inject_*,No,No,No,high,1390,MOVE
lower_coverage_gate.sh,migrations,One-time script: lower_*,No,No,No,high,1187,MOVE
neutralize_validator_for_cli.sh,migrations,One-time script: neutralize_*,No,No,No,high,2332,MOVE
